,siteModel_buildings_polygon_exteriorRing_edges_id,siteModel_buildings_polygon_exteriorRing_edges_bearingVector,siteModel_buildings_polygon_exteriorRing_edges_angleBetweenBearingVectorAndUpVector,siteModel_buildings_polygon_exteriorRing_edges_angleBetweenBearingVectorAndRightVector,siteModel_buildings_polygon_exteriorRing_edges_edgeCondition,siteModel_buildings_polygon_exteriorRing_edges_sidingMaterial,siteModel_buildings_polygon_exteriorRing_edges_startPoint.x,siteModel_buildings_polygon_exteriorRing_edges_startPoint.y,siteModel_buildings_polygon_exteriorRing_edges_startPoint.z,siteModel_buildings_polygon_exteriorRing_edges_endPoint.x,siteModel_buildings_polygon_exteriorRing_edges_endPoint.y,siteModel_buildings_polygon_exteriorRing_edges_endPoint.z,id,installationId
18,0,,0.0,0.0,None,,-52.51968503937008,-310.9763779527559,0.0,-54.36044587280407,-162.57792980007375,0.0,10,10
19,0,,0.0,0.0,None,,-54.36044587280407,-162.57792980007375,0.0,-55.44881889763781,-161.5708661417323,0.0,10,10
20,0,,0.0,0.0,None,,-55.44881889763781,-161.5708661417323,0.0,-166.80708661417324,-162.92519685039372,0.0,10,10
21,0,,0.0,0.0,None,,-166.80708661417324,-162.92519685039372,0.0,-167.95669291338584,-68.38188976377955,0.0,10,10
22,0,,0.0,0.0,None,,-167.95669291338584,-68.38188976377955,0.0,-167.9566929133859,-68.38188976377954,0.0,10,10
23,0,,0.0,0.0,None,,-167.9566929133859,-68.38188976377954,0.0,-167.95669291338584,-68.38188976377954,0.0,10,10
24,0,,0.0,0.0,None,,-167.95669291338584,-68.38188976377954,0.0,-56.598425196850386,-67.0275590551181,0.0,10,10
25,0,,0.0,0.0,None,,-56.598425196850386,-67.0275590551181,0.0,-55.55820482017047,-66.01700465339223,0.0,10,10
26,0,,0.0,0.0,None,,-55.55820482017047,-66.01700465339223,0.0,-56.893623017394695,41.64173324642959,0.0,10,10
27,0,,0.0,0.0,None,,-56.893623017394695,41.64173324642959,0.0,-172.62892449766892,40.20867375944725,0.0,10,10
28,0,,0.0,0.0,None,,-172.62892449766892,40.20867375944725,0.0,-171.2815393649889,-68.42232629124466,0.0,10,10
29,0,,0.0,0.0,None,,-171.2815393649889,-68.42232629124466,0.0,-170.0700723095706,-166.09512567622272,0.0,10,10
30,0,,0.0,0.0,None,,-170.0700723095706,-166.09512567622272,0.0,-165.51181102362204,-533.5984251968504,0.0,10,10
31,0,,0.0,0.0,None,,-165.51181102362204,-533.5984251968504,0.0,-334.56700918968824,-535.6962532798483,0.0,10,10
32,0,,0.0,0.0,None,,-334.56700918968824,-535.6962532798483,0.0,-505.6220472440945,-537.8188976377953,0.0,10,10
33,0,,0.0,0.0,None,,-505.6220472440945,-537.8188976377953,0.0,-508.40944470969,-312.95702440688405,0.0,10,10
34,0,,0.0,0.0,None,,-508.40944470969,-312.95702440688405,0.0,-524.4685039370079,-313.15748031496065,0.0,10,10
35,0,,0.0,0.0,None,,-524.4685039370079,-313.15748031496065,0.0,-525.1568511885105,-257.8306031955895,0.0,10,10
36,0,,0.0,0.0,None,,-525.1568511885105,-257.8306031955895,0.0,-525.1692913385892,-256.83070866089145,0.0,10,10
0,0,,0.0,0.0,,None,103.40748368435304,-235.570874800654,0.0,98.364176376,-141.9291384,0.0,9,9
1,0,,0.0,0.0,,None,98.364176376,-141.9291384,0.0,122.84054968421228,-140.61013992794977,0.0,9,9
2,0,,0.0,0.0,,None,122.84054968421228,-140.61013992794977,0.0,111.22258850735416,75.13118658192755,0.0,9,9
3,0,,0.0,0.0,,None,111.22258850735416,75.13118658192755,0.0,-151.498036344,60.98425392,0.0,9,9
4,0,,0.0,0.0,,None,-151.498036344,60.98425392,0.0,-159.0399970362699,201.04187411540735,0.0,9,9
5,0,,0.0,0.0,,None,-159.0399970362699,201.04187411540735,0.0,-166.474414776,339.102373056,0.0,9,9
6,0,,0.0,0.0,,None,-166.474414776,339.102373056,0.0,547.001986008,377.523634128,0.0,9,9
7,0,,0.0,0.0,,None,547.001986008,377.523634128,0.0,552.672616482812,272.2347682899658,0.0,9,9
8,0,,0.0,0.0,,None,552.672616482812,272.2347682899658,0.0,558.450805272,164.948824176,0.0,9,9
9,0,,0.0,0.0,,None,558.450805272,164.948824176,0.0,526.8838751280001,163.24803672,0.0,9,9
10,0,,0.0,0.0,,None,526.8838751280001,163.24803672,0.0,544.5767890799999,-165.29528088,0.0,9,9
11,0,,0.0,0.0,,None,544.5767890799999,-165.29528088,0.0,521.805134808,-166.523627376,0.0,9,9
12,0,,0.0,0.0,,None,521.805134808,-166.523627376,0.0,529.348442136,-306.551190912,0.0,9,9
13,0,,0.0,0.0,,None,529.348442136,-306.551190912,0.0,108.450790872,-329.216545968,0.0,9,9
14,0,,0.0,0.0,,None,108.450790872,-329.216545968,0.0,103.40748368435304,-235.570874800654,0.0,9,9
15,0,,0.0,0.0,,None,-558.450805272,-130.43307504,0.0,-496.8990010618562,-128.24033075607872,0.0,9,9
16,0,,0.0,0.0,,None,-496.8990010618562,-128.24033075607872,0.0,-495.8996221145401,-128.20472851009552,0.0,9,9
17,0,,0.0,0.0,,None,-495.8996221145401,-128.20472851009552,0.0,-346.15158588,-122.870082672,0.0,9,9
18,0,,0.0,0.0,,None,-346.15158588,-122.870082672,0.0,-337.348435992,-369.964578768,0.0,9,9
19,0,,0.0,0.0,,None,-337.348435992,-369.964578768,0.0,-487.0964601649146,-375.295287168729,0.0,9,9
20,0,,0.0,0.0,,None,-487.0964601649146,-375.295287168729,0.0,-549.651592392,-377.523634128,0.0,9,9
21,0,,0.0,0.0,,None,-549.651592392,-377.523634128,0.0,-558.450805272,-130.43307504,0.0,9,9
